pid,source,label,creator,_date,description,location,latitude,longitude,type,rights
ec_0001,/buildings/Alspaugh_B2_500px.jpg,Alspaugh Residence Hall,Office of Horace Trumbauer,1926,Georgian Revival,"Duke University;Durham, NC",36.008146,-78.915037,dorm,Duke University Archives
ec_0002,/buildings/Ark_B1_500px.jpg,Angier Buchanan Duke Gymnasium,Unknown,1898,woodframe,"Duke University;Durham, NC",36.007164,-78.913563,gym,Duke University Archives
ec_0003,/buildings/Baldwin_B2_500px.jpg,Baldwin Auditorium,Office of Horace Trumbauer,1927,Georgian Revival,"Duke University;Durham, NC",36.008906,-78.914659,auditorium,Duke University Archives
ec_0004,/buildings/Bassett_B2_500px_0.jpg,Bassett Residence Hall,Office of Horace Trumbauer,1927,Georgian Revival,"Duke University;Durham, NC",36.008774,-78.91418,dorm,Duke University Archives
ec_0005,/buildings/belltower-long.jpg,Bell Tower Residence Hall,Architectural Resources Cambridge,2006,Neotraditional,"Duke University;Durham, NC",36.007032,-78.918468,dorm,Duke University Archives
ec_0006,/buildings/Bishop_B1_500px.jpg,Bishop's House,William Albert Wilkerson,1910,Bungalow,"Duke University;Durham, NC",36.008776,-78.913237,house,Duke University Archives
ec_0007,/buildings/Bivins_B1_500px.jpg,Bivins Building,Unknown,1905,Spanish Mission,"Duke University;Durham, NC",36.008859,-78.917409,dorm,Duke University Archives
ec_0008,,Blackwell Residence Hall,Architectural Resources Cambridge; Little and Associates Architects,1994,Neotraditional,"Duke University;Durham, NC",36.006448,-78.916255,dorm,Duke University Archives
ec_0009,/buildings/Branson_B1_500px.jpg,Branson Hall,Unknown; Architectural Resources Cambridge; Little and Associates Architects,1899,red brick,"Duke University;Durham, NC",36.007001,-78.916275,academics,Duke University Archives
ec_0010,,Brodie Recreation Center,Hastings & Chivetta,1922-23,red brick,"Duke University;Durham, NC",36.007324,-78.917141,gym,Duke University Archives
ec_0011,/buildings/Brown_B1_500px.jpg,Brown Residence Hall,Office of Horace Trumbauer,1926,Georgian Revival,"Duke University;Durham, NC",36.008126,-78.914271,dorm,Duke University Archives
ec_0012,/buildings/Carr_B2_500px.jpg,Classroom Building (Carr Building),Office of Horace Trumbauer,1927,Georgian Revival,"Duke University;Durham, NC",36.006422,-78.915147,academics,Duke University Archives
ec_0013,/buildings/Crowell_B1_500px.jpg,Crowell Building,S. L. Leary,1892,red brick,"Duke University;Durham, NC",36.006586,-78.913464,academics,Duke University Archives
ec_0014,/buildings/East_Duke_B1_500px.jpg,East Duke Building,C.C. Hook,1912,Neoclassical Revival,"Duke University;Durham, NC",36.004806,-78.914135,offices,Duke University Archives
ec_0015,/buildings/Aycock_B1_500px.jpg,East Residence Hall,C.C. Hook,1911,Mission Style,"Duke University;Durham, NC",36.005748,-78.914185,dorm,Duke University Archives
ec_0016,/buildings/Epworth_B1_500px.jpg,Epworth Residence Hall,S. L. Leary,1892,English Tavern,"Duke University;Durham, NC",36.006014,-78.913401,dorm,Duke University Archives
ec_0017,,Friedl Building,Office of Horace Trumbauer,1927,Georgian Revival,"Duke University;Durham, NC",36.00642,-78.914343,academics,Duke University Archives
ec_0018,/buildings/Gilbert_Addoms_B2_500px.jpg,Gilbert-Addoms Residence Hall,Six Associates,1957,limestone,"Duke University;Durham, NC",36.005514,-78.916853,dorm,Duke University Archives
ec_0019,/buildings/Giles_B1_500px.jpg,Giles Residence Hall,Office of Horace Trumbauer,1928,Georgian Revival,"Duke University;Durham, NC",36.007044,-78.915088,dorm,Duke University Archives
ec_0020,/buildings/Jarvis-B1_500px.jpg,Jarvis Residence Hall,C. C. Hook,1912,Mission Style,"Duke University;Durham, NC",36.005777,-78.915305,dorm,Duke University Archives
ec_0021,/buildings/Lilly_B2_500px.jpg,Lilly Library,Office of Horace Trumbauer,1927,Georgian Revival,"Duke University;Durham, NC",36.007554,-78.915164,library,Duke University Archives
ec_0022,/buildings/Biddle_B1_500px.jpg,Mary Duke Biddle Music Building,Edward Durell Stone,1974,Modern,"Duke University;Durham, NC",36.008934,-78.915913,academics,Duke University Archives
ec_0023,/buildings/Pegram_B1_500px.jpg,Pegram Residence Hall,Office of Horace Trumbauer,1926,Georgian Revival,"Duke University;Durham, NC",36.008718,-78.915035,dorm,Duke University Archives
ec_0024,/buildings/Randolph_B1_500px.jpg,Randolph Residence Hall,Architectural Resources Cambridge; Little and Associates Architects,1994,Neotraditional,"Duke University;Durham, NC",36.006912,-78.917164,dorm,Duke University Archives
ec_0025,/buildings/Southgate_B1_500px.jpg,Southgate Residence Hall,C.C. Hook,1921,Neoclassical Revival,"Duke University;Durham, NC",36.005836,-78.918075,dorm,Duke University Archives
ec_0026,/buildings/Stagg_B1_500px.jpg,Stagg Pavilion,Unknown,1902,masonry,"Duke University;Durham, NC",36.004063,-78.913672,pavilion,Duke University Archives
ec_0027,/buildings/West_Duke_B3_500px.jpg,West Duke Building,C. C. Hook,1911,Neoclassical Revival,"Duke University;Durham, NC",36.004793,-78.915407,academics,Duke University Archives
ec_0028,,White Lecture Hall,"Robert W. Carr, Inc.",2001,Neoclassical Revival,"Duke University;Durham, NC",36.005267,-78.913982,academics,Duke University Archives
ec_0029,/buildings/Wilson_B1_500px.jpg,Wilson Residence Hall,Office of Horace Trumbauer,1927,Georgian Revival,"Duke University;Durham, NC",36.007024,-78.914318,dorm,Duke University Archives
